=== Resultados de búsqueda de hipertensión ===
Total de líneas analizadas: 95794
Total de líneas con hipertensión: 2050
Total de apariciones totales: 2129

Línea - Apariciones
Línea 24379: 1 vez(s)
Línea 24382: 1 vez(s)
Línea 24504: 1 vez(s)
Línea 24521: 1 vez(s)
Línea 24540: 1 vez(s)
Línea 24641: 1 vez(s)
Línea 24642: 1 vez(s)
Línea 24788: 1 vez(s)
Línea 24832: 1 vez(s)
Línea 24965: 1 vez(s)
Línea 25217: 1 vez(s)
Línea 25222: 1 vez(s)
Línea 25225: 1 vez(s)
Línea 25287: 1 vez(s)
Línea 25296: 1 vez(s)
Línea 25308: 1 vez(s)
Línea 25448: 1 vez(s)
Línea 25466: 1 vez(s)
Línea 25474: 1 vez(s)
Línea 25487: 1 vez(s)
Línea 25490: 1 vez(s)
Línea 25881: 1 vez(s)
Línea 25885: 1 vez(s)
Línea 25890: 1 vez(s)
Línea 25975: 1 vez(s)
Línea 25976: 1 vez(s)
Línea 25981: 2 vez(s)
Línea 26133: 1 vez(s)
Línea 26138: 1 vez(s)
Línea 26146: 1 vez(s)
Línea 26154: 1 vez(s)
Línea 26158: 1 vez(s)
Línea 26210: 1 vez(s)
Línea 26212: 1 vez(s)
Línea 26219: 2 vez(s)
Línea 26358: 1 vez(s)
Línea 26361: 1 vez(s)
Línea 26362: 1 vez(s)
Línea 26368: 2 vez(s)
Línea 26465: 1 vez(s)
Línea 26485: 1 vez(s)
Línea 26486: 1 vez(s)
Línea 26489: 1 vez(s)
Línea 26495: 1 vez(s)
Línea 26536: 1 vez(s)
Línea 26542: 1 vez(s)
Línea 26553: 1 vez(s)
Línea 26557: 1 vez(s)
Línea 26578: 1 vez(s)
Línea 26607: 1 vez(s)
Línea 26952: 1 vez(s)
Línea 26957: 1 vez(s)
Línea 26961: 1 vez(s)
Línea 27038: 1 vez(s)
Línea 27080: 1 vez(s)
Línea 27200: 1 vez(s)
Línea 27205: 1 vez(s)
Línea 27207: 1 vez(s)
Línea 27216: 2 vez(s)
Línea 27657: 1 vez(s)
Línea 27675: 1 vez(s)
Línea 27723: 1 vez(s)
Línea 27732: 1 vez(s)
Línea 27744: 1 vez(s)
Línea 27881: 1 vez(s)
Línea 27884: 1 vez(s)
Línea 27900: 1 vez(s)
Línea 27901: 1 vez(s)
Línea 27913: 1 vez(s)
Línea 27921: 1 vez(s)
Línea 27929: 1 vez(s)
Línea 27939: 1 vez(s)
Línea 28150: 1 vez(s)
Línea 28151: 1 vez(s)
Línea 28160: 1 vez(s)
Línea 28246: 1 vez(s)
Línea 28364: 1 vez(s)
Línea 28371: 1 vez(s)
Línea 28373: 1 vez(s)
Línea 28548: 1 vez(s)
Línea 28553: 1 vez(s)
Línea 28717: 1 vez(s)
Línea 28718: 1 vez(s)
Línea 28744: 2 vez(s)
Línea 28827: 1 vez(s)
Línea 28834: 1 vez(s)
Línea 28838: 1 vez(s)
Línea 28849: 1 vez(s)
Línea 28860: 1 vez(s)
Línea 28870: 1 vez(s)
Línea 29231: 1 vez(s)
Línea 29234: 1 vez(s)
Línea 29240: 1 vez(s)
Línea 29343: 1 vez(s)
Línea 29349: 1 vez(s)
Línea 29354: 1 vez(s)
Línea 29364: 2 vez(s)
Línea 29574: 1 vez(s)
Línea 29580: 1 vez(s)
Línea 29581: 1 vez(s)
Línea 29903: 1 vez(s)
Línea 29912: 1 vez(s)
Línea 29931: 1 vez(s)
Línea 30025: 1 vez(s)
Línea 30026: 1 vez(s)
Línea 30027: 2 vez(s)
Línea 30030: 1 vez(s)
Línea 30033: 1 vez(s)
Línea 30034: 2 vez(s)
Línea 30123: 1 vez(s)
Línea 30128: 1 vez(s)
Línea 30149: 1 vez(s)
Línea 30152: 1 vez(s)
Línea 30159: 1 vez(s)
Línea 30417: 1 vez(s)
Línea 30422: 1 vez(s)
Línea 30427: 1 vez(s)
Línea 30452: 1 vez(s)
Línea 30459: 1 vez(s)
Línea 30461: 1 vez(s)
Línea 30467: 2 vez(s)
Línea 30504: 1 vez(s)
Línea 30517: 1 vez(s)
Línea 30523: 1 vez(s)
Línea 30554: 1 vez(s)
Línea 30557: 1 vez(s)
Línea 30658: 1 vez(s)
Línea 30961: 1 vez(s)
Línea 30964: 1 vez(s)
Línea 30970: 1 vez(s)
Línea 31133: 1 vez(s)
Línea 31139: 1 vez(s)
Línea 31142: 1 vez(s)
Línea 31148: 2 vez(s)
Línea 31260: 1 vez(s)
Línea 31261: 1 vez(s)
Línea 31264: 1 vez(s)
Línea 31265: 1 vez(s)
Línea 31266: 3 vez(s)
Línea 31300: 1 vez(s)
Línea 31305: 1 vez(s)
Línea 31381: 1 vez(s)
Línea 31386: 1 vez(s)
Línea 31392: 1 vez(s)
Línea 31420: 1 vez(s)
Línea 31421: 1 vez(s)
Línea 31678: 1 vez(s)
Línea 31683: 1 vez(s)
Línea 31686: 1 vez(s)
Línea 31700: 1 vez(s)
Línea 31947: 1 vez(s)
Línea 31953: 1 vez(s)
Línea 31960: 1 vez(s)
Línea 32178: 1 vez(s)
Línea 32182: 1 vez(s)
Línea 32186: 1 vez(s)
Línea 32195: 1 vez(s)
Línea 32201: 1 vez(s)
Línea 32210: 1 vez(s)
Línea 32233: 1 vez(s)
Línea 32235: 1 vez(s)
Línea 32237: 1 vez(s)
Línea 32241: 1 vez(s)
Línea 32242: 1 vez(s)
Línea 32244: 2 vez(s)
Línea 32632: 1 vez(s)
Línea 32633: 1 vez(s)
Línea 32637: 1 vez(s)
Línea 32638: 3 vez(s)
Línea 32815: 1 vez(s)
Línea 32816: 1 vez(s)
Línea 32817: 2 vez(s)
Línea 32819: 1 vez(s)
Línea 32827: 1 vez(s)
Línea 32831: 1 vez(s)
Línea 32840: 1 vez(s)
Línea 32846: 1 vez(s)
Línea 32859: 1 vez(s)
Línea 32926: 1 vez(s)
Línea 32933: 1 vez(s)
Línea 32965: 1 vez(s)
Línea 32973: 1 vez(s)
Línea 32984: 1 vez(s)
Línea 33034: 1 vez(s)
Línea 33038: 1 vez(s)
Línea 33045: 1 vez(s)
